Aerospace,Autos,Basic Materials,Business Services,Conglomerates,Computer Tech,Consumer Discretionary,Consumer Staples,Construction,Finance,Industrial Products,Medical,Oils Energy,Retail Wholesale,Transportation,Utilities,,,Urgent,Watchlist,Badlist
,,GSS,YEXT,,CVLT,ERI,NOMD,GIFI,CIB,ENR,CBIO,OMP,SFIX,HTLD,JCOM,,,,,
,,GURE,ZVO,,CY,EROS,NP,GLDD,CIM,ENS,CBMG,ORA,SFM,HTZ,KELYA,,,,,
,,HAIN,,,CYBR,ES,NTRA,GLW,CINF,EPAC,CBPO,OVV,SHAK,HUBG,KEP,,,,,
,,HAL,,,CYOU,ESCA,NUS,GMS,CIO,ERII,CCXI,OXY,SIG,HYRE,KFRC,,,,,
,,HAYN,,,DAKT,ET,NVTA,GPRE,CIT,ESE,CDMO,PAA,SPTN,HZN,KN,,,,,
,,HBM,,,DBD,ETM,NWL,GRA,CIVB,ETN,CDNA,PAGP,SPWH,IEP,KT,,,,,
,,HCC,,,DBX,ETR,NYT,GRBK,CLBK,EW,CDTX,PARR,STMP,IGT,KVHI,,,,,
,,HEP,,,DDD,ETRN,OLLI,GROW,CLDT,EYE,CDXC,PBA,SYX,INSW,LAUR,,,,,
,,HES,,,DELL,ETSY,OMI,GT,CLI,EYPT,CDXS,PBF,TA,IQ,LBRDA,,,,,
,,HESM,,,DFIN,EVC,OPCH,GTLS,CLNY,FARO,CEMI,PBFX,TACO,JACK,LBRDK,,,,,
,,HFC,,,DGII,EVOP,OXM,GURE,CM,FBHS,CERC,PBR,TAST,JAX,LBTYA,,,,,
,,HL,,,DHX,EVRG,PDCO,GV,CMA,FCEL,CERN,PBT,TECD,JBHT,LBTYK,,,,,
,,HLX,,,DIOD,EXC,PEP,GVA,CME,FELE,CERS,PDCE,TGT,JBLU,LILA,,,,,
,,HMY,,,DLB,EXLS,PETQ,HAYN,CMO,FLDM,CGC,PDS,TIF,KEX,LILAK,,,,,
,,HNRG,,,DMRC,EZPW,PG,HBP,CNA,FLOW,CGEN,PE,TITN,KNDI,LINC,,,,,
,,HP,,,DOCU,FCFS,PKG,HCCI,CNNE,FLR,CHE,PHX,TJX,KNOP,LITE,,,,,
,,HSY,,,DOMO,FE,PLCE,HCHC,CNO,FLS,CHMA,PSX,TLYS,KNX,LNT,,,,,
,,HUN,,,DOX,FENG,PM,HD,CNOB,FORM,CHNG,PSXP,TPR,KSU,LOPE,,,,,
,,HWKN,,,DOYU,FICO,POST,HEES,CNS,FSLR,CHRS,PTEN,TPX,KTOS,LORL,,,,,
,,IAG,,,DSPG,FIS,PPC,HIL,CNTY,FTV,CI,PTR,TRIP,LCII,LRN,,,,,
,,IMO,,,DT,FIVE,PRMW,HLI,CODI,GDI,CIA,PUMP,TSCO,LDL,LSXMA,,,,,
,,INGR,,,DXC,FLT,PSNL,HLIO,COF,GE,CINF,PVAC,TXRH,LEA,LSXMK,,,,,
,,INT,,,EA,FLWS,PVH,HLNE,COLB,GEF,CLBS,PVL,TZOO,LEE,LYTS,,,,,
,,INVA,,,EB,FNKO,PYX,HNI,COLD,GEOS,CLDX,PXD,ULTA,LHX,MAGS,,,,,
,,IO,,,EBIX,FOSL,RDNT,HOFT,CONE,GGG,CLLS,QEP,URBN,LK,MAN,,,,,
,,IOSP,,,ECOM,FOX,REV,HRI,COOP,GHM,CLSD,REGI,VRA,LKQ,MAXR,,,,,
,,IP,,,EGAN,FOXA,RFP,HSC,COR,GKOS,CLSN,REI,W,LMT,MBT,,,,,
,,IPI,,,EGHT,FTCH,RL,HUN,CORR,GMED,CLVS,RES,WBA,LOCO,MCO,,,,,
,,JBSS,,,EGOV,FTS,ROST,HWKN,COWN,GNMK,CMD,RIG,WEN,LPG,MDCA,,,,,
,,JJSF,,,EIGI,FUN,SAFM,HXL,CPF,GNRC,CMRX,RRC,WING,LSTR,MDU,,,,,
,,K,,,EMKR,FVRR,SAM,IBP,CPLG,GPK,CNA,RUN,WMK,LTM,MEET,,,,,
,,KALU,,,ENTG,FWONA,SANW,IFF,CPSS,GPRO,CNC,SD,WMT,LUV,MGEE,,,,,
,,KGC,,,EPAM,FWONK,SCHL,IIIN,CPT,GRC,CNCE,SDRL,WSM,LYV,MSEX,,,,,
,,KHC,,,EPAY,GAIA,SCI,IOSP,CPTA,GSIT,CNMD,SEDG,YUM,MAIN,MSGN,,,,,
,,KL,,,ERIC,GDEN,SCVL,IPAR,CRESY,GTES,CNO,SHLX,YUMC,MANU,MSI,,,,,
,,KLXE,,,ESTC,GLUU,SGC,IVZ,CRON,GTLS,CNST,SJT,ZUMZ,MAT,MYRG,,,,,
,,KOP,,,ETSY,GME,SHOO,J,CS,GWW,CO,SLB,,MATX,NCMI,,,,,
,,KOS,,,EVBG,GNC,SJM,JELD,CSFL,HAE,COLL,SM,,MBUU,NEE,,,,,
,,KRA,,,EVER,GNE,SKX,JHG,CSWC,HBIO,COO,SMLP,,MCD,NEW,,,,,
,,KRO,,,EVH,GNSS,SMPL,KALU,CTBI,HCCI,CORT,SND,,MCFT,NFG,,,,,
,,KRP,,,EVTC,GO,SON,KAMN,CTRE,HDS,CPRX,SNP,,MCS,NGG,,,,,
,,KWR,,,EXTR,GOLF,STKL,KBAL,CTT,HEES,CPSI,SOI,,MDP,NHC,,,,,
,,LANC,,,FARO,GPI,STZ,KBH,CUBE,HIMX,CRBP,SOL,,MESA,NI,,,,,
,,LBRT,,,FB,GPN,SWM,KBR,CUBI,HLIO,CRIS,SPH,,MGA,NJR,,,,,
,,LNDC,,,FDS,GPRO,SYY,KKR,CURO,HOLI,CRL,SPWR,,MLR,NOK,,,,,
,,LONE,,,FEYE,GPX,TAP,KNL,CUZ,HOLX,CRMD,SRLP,,MMLP,NRG,,,,,
,,LPI,,,FFIV,GRUB,THS,KOP,CVBF,HRC,CRON,SSL,,MMYT,NSP,,,,,
,,LTHM,,,FICO,GSKY,TJX,KRA,CVCY,HSC,CRSP,SU,,MNRO,NSSC,,,,,
,,LW,,,FISV,GTN,TLRD,KRO,CWK,HUBB,CRVL,SUN,,MO,NTGR,,,,,
,,LYB,,,FIT,GWW,TLYS,KWR,CXP,HWCC,CRVS,SWN,,MOD,NVEE,,,,,
,,MAG,,,FIVN,H,TPB,LAZ,CXW,HY,CRY,SXC,,MOS,NWE,,,,,
,,MCF,,,FLEX,HAS,TPR,LBY,CZNC,IART,CSII,TALO,,MPAA,NWN,,,,,
,,MDLZ,,,FN,HDS,TR,LCUT,CZR,ICAD,CSU,TCP,,MPX,NXST,,,,,
,,MDU,,,FNJN,HE,TSN,LEG,DB,ICHR,CTIC,TDW,,MRTN,OESX,,,,,
,,MED,,,FORM,HGV,TUP,LEN,DCOM,ICUI,CTLT,TELL,,MSG,OGE,,,,,
,,MEOH,,,FORR,HIBB,TVTY,LGIH,DEA,IDN,CTMX,TGE,,MTN,OGS,,,,,
,,MERC,,,FSCT,HLT,TWNK,LII,DEI,IEX,CTSO,TGS,,MTOR,OKE,,,,,
,,MGY,,,FSLY,HMSY,UA,LIN,DFS,IIIN,CVET,TOT,,NAT,OMC,,,,,
,,MIC,,,FTNT,HMTV,UAA,LIQT,DGICA,IIN,CVM,TRGP,,NAV,ORAN,,,,,
,,MKC,,,FTV,HNP,UFS,LL,DHC,IIVI,CVS,TRP,,NCLH,ORBC,,,,,
,,MLI,,,GDDY,HOFT,UL,LM,DLR,ILMN,CYCN,TTI,,NDLS,OTTR,,,,,
,,MLM,,,GDI,HOME,UN,LOMA,DOC,IMAX,CYH,TUSK,,NFLX,PAM,,,,,
,,MMLP,,,GDS,HQY,UNFI,LOOP,DRE,IMOS,CYTK,UGP,,NIO,PCG,,,,,
,,MMP,,,GEOS,HRB,URBN,LOW,DRH,INGN,DBVT,USAC,,NLS,PCTI,,,,,
,,MOS,,,GIB,HTHT,USFD,LPX,DS,INO,DCPH,VET,,NM,PCYO,,,,,
,,MPC,,,GILT,HUD,USPH,LTHM,DX,INSP,DGICA,VLO,,NMM,PEG,,,,,
,,MPLX,,,GLOB,HVT,UVV,LXFR,EBSB,INTC,DGX,VNOM,,NOC,PEGI,,,,,
,,MR,,,GLUU,HZO,VCYT,LXU,ECPG,IPGP,DNLI,VOC,,NSC,PFMT,,,,,
,,MRC,,,GLW,IAA,VFC,LYB,EEFT,IPHI,DRNA,VSLR,,NTR,PLT,,,,,
